filename,year,topic,top_words
1888_Stolz-Madame-de_Violence-et-bonte.txt,1888,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1888_Gouraud-Julie_Quand-je-serai-grande.txt,1888,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1888_Blandy-Stella_L-Oncle-Philibert.txt,1888,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1889_La-Brete-Jean-de_Mon-oncle-et-mon-cure.txt,1889,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1889_Dombre-Roger_Folla.txt,1889,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1890_Pitray-Olga-de-Segur_Voyages-abracadabrants-du-gros-Phileas.txt,1890,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1890_Hameau-Louise_Mademoiselle-Pourquoi.txt,1890,3,"poupée, baron, princesse, baronne, moulin, bergère, mlle, jouet, tailleur, artiste, lune, prince, valet, soulier, fée, neige, portrait, fermier, meunier, marchand"
1890_Dombre-Roger_Une-pupille-genante.txt,1890,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1890_Dombre-Roger_La-Nounou.txt,1890,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres.txt,1891,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1891_Pitray-Olga-de-Segur_L-Usine-et-le-chateau.txt,1891,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1892_Stolz-Madame-de_La-famille-Coquelicot.txt,1892,1,"tante, mlle, mademoisell, vieillard, colonel, nièce, docteur, capitaine, vacance, chéri, écolier, neveu, professeur, demoiselle, notaire, hôtel, classe, apprécier, marraine, invitation"
1892_Colomb-Josephine_Les-Conquetes-d-Hermine.txt,1892,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1893_Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee.txt,1893,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
1893_Marie-Delorme_Les-Filles-du-clown.txt,1893,5,"éléphant, vieillard, montagne, troupe, peuple, compagne, vallée, sourd, prince, créature, palais, nourriture, bande, capitaine, orphelin, princesse, solitude, rivière, trompe, rocher"
1893_Malot-Hector_En-Famille.txt,1893,0,"tante, curé, classe, juge, chanoinesse, capitaine, vache, neige, lycée, mademoisell, pension, professeur, public, tuteur, docteur, hôtel, magister, billet, aveugle, bateau"
