title,text_id,char_id,char_name,type,Gender
1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte.book --- friederich,1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte,1,friederich,1.0,0.0
1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte.book --- mme poise,1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte,2,mme poise,0.0,1.0
1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte.book --- la cousine hilda,1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte,3,la cousine hilda,1.0,1.0
1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte.book --- sœur joséfa,1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte,4,sœur joséfa,0.0,1.0
1867_Pressense-Elise-de_Deux-ans-au-lycee.book --- gabriel,1867_Pressense-Elise-de_Deux-ans-au-lycee,0,gabriel,1.0,0.0
1867_Pressense-Elise-de_Deux-ans-au-lycee.book --- madame sorbier,1867_Pressense-Elise-de_Deux-ans-au-lycee,1,madame sorbier,0.0,1.0
1867_Pressense-Elise-de_Deux-ans-au-lycee.book --- raoul,1867_Pressense-Elise-de_Deux-ans-au-lycee,2,raoul,1.0,0.0
1867_Pressense-Elise-de_Deux-ans-au-lycee.book --- hélène,1867_Pressense-Elise-de_Deux-ans-au-lycee,3,hélène,1.0,1.0
1867_Pressense-Elise-de_Deux-ans-au-lycee.book --- francine,1867_Pressense-Elise-de_Deux-ans-au-lycee,4,francine,1.0,1.0
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- jean-paul,1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart,0,jean-paul,1.0,0.0
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- le marquis de la galoche,1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart,1,le marquis de la galoche,0.0,0.0
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- jean-paul et petit-jacques,1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart,2,jean-paul et petit-jacques,5.0,0.0
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- petit-jacques,1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart,3,petit-jacques,1.0,0.0
1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart.book --- panouille,1843_Desnoyers-Louis_Les-aventures-de-Jean-Paul-Choppart,4,panouille,1.0,0.0
1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane.book --- réviliod,1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane,0,réviliod,0.0,0.0
1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane.book --- la tour - miranne,1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane,1,la tour - miranne,0.0,0.0
1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane.book --- martin landoux,1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane,2,martin landoux,0.0,0.0
1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane.book --- le petit biscuitier,1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane,3,le petit biscuitier,1.0,0.0
1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane.book --- robert,1910_Graffigny-H-de_Le-tour-de-France-en-aeroplane,4,robert,0.0,0.0
1889_La-Brete-Jean-de_Mon-oncle-et-mon-cure.book --- reine,1889_La-Brete-Jean-de_Mon-oncle-et-mon-cure,0,reine,1.0,1.0
1889_La-Brete-Jean-de_Mon-oncle-et-mon-cure.book --- m. de conprat,1889_La-Brete-Jean-de_Mon-oncle-et-mon-cure,1,m. de conprat,0.0,0.0
